feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
0.23,1.45,2.34,0.12,5.67,3.21,1.89,4.56,2.12,0.98,12.45
0.45,2.12,1.98,0.34,6.23,2.87,2.34,3.98,1.76,1.23,15.67
0.67,1.89,2.67,0.45,4.89,3.45,1.56,5.12,2.45,0.87,11.23
0.12,2.34,1.45,0.23,7.12,2.56,2.67,4.23,1.89,1.45,18.34
0.89,1.67,2.89,0.56,5.34,3.78,1.23,4.89,2.78,0.76,13.56
0.34,2.56,1.67,0.67,6.78,2.34,2.89,3.67,1.45,1.67,16.89
0.56,1.23,2.45,0.78,4.56,3.12,1.78,5.34,2.34,0.65,10.78
0.78,2.78,1.89,0.89,7.45,2.78,2.45,4.12,1.67,1.89,19.45
0.91,1.45,3.12,0.12,5.89,3.45,1.34,4.78,2.56,0.54,14.23
0.43,2.89,1.34,0.34,6.34,2.45,2.78,3.89,1.23,1.98,17.12
0.65,1.78,2.56,0.45,4.23,3.67,1.67,5.45,2.67,0.43,9.87
0.87,2.45,1.78,0.56,7.67,2.12,2.56,4.34,1.78,2.12,20.56
0.21,1.56,2.78,0.67,5.12,3.89,1.45,4.67,2.89,0.32,13.89
0.54,2.67,1.56,0.78,6.56,2.67,2.34,3.78,1.34,2.34,18.67
0.76,1.34,2.34,0.89,4.78,3.34,1.89,5.23,2.45,0.21,11.45
0.98,2.98,1.23,0.91,7.89,2.89,2.12,4.45,1.56,2.45,21.78
0.32,1.89,2.67,0.23,5.45,3.56,1.56,4.89,2.78,0.98,15.34
0.65,2.34,1.45,0.45,6.89,2.45,2.67,3.56,1.45,1.76,17.89
0.87,1.67,2.89,0.56,4.34,3.78,1.23,5.56,2.56,0.65,10.23
0.19,2.56,1.67,0.67,7.23,2.34,2.89,4.23,1.67,2.67,19.67
0.41,1.12,2.45,0.78,5.67,3.23,1.78,4.78,2.34,0.54,12.89
0.63,2.78,1.89,0.89,6.12,2.78,2.45,3.67,1.89,2.89,16.45
0.85,1.45,3.12,0.12,4.89,3.45,1.34,5.12,2.67,0.43,13.12
0.17,2.89,1.34,0.34,7.45,2.45,2.78,4.34,1.23,1.98,20.34
0.39,1.78,2.56,0.45,5.23,3.67,1.67,4.89,2.78,0.87,14.67
0.61,2.45,1.78,0.56,6.78,2.12,2.56,3.78,1.34,2.12,18.23
0.83,1.56,2.78,0.67,4.45,3.89,1.45,5.34,2.45,0.76,11.89
0.15,2.67,1.56,0.78,7.67,2.67,2.34,4.45,1.56,2.34,21.45
0.37,1.34,2.34,0.89,5.34,3.34,1.89,4.67,2.89,0.65,13.78
0.59,2.98,1.23,0.91,6.45,2.89,2.12,3.89,1.45,2.56,17.56
0.81,1.89,2.67,0.23,4.67,3.56,1.56,5.45,2.56,0.54,10.67
0.13,2.34,1.45,0.45,7.89,2.45,2.67,4.56,1.67,2.78,22.34
0.35,1.67,2.89,0.56,5.56,3.78,1.23,4.78,2.34,0.43,15.23
0.57,2.56,1.67,0.67,6.23,2.34,2.89,3.67,1.78,2.89,16.78
0.79,1.23,2.45,0.78,4.89,3.12,1.78,5.23,2.67,0.32,12.34
0.11,2.78,1.89,0.89,7.34,2.78,2.45,4.67,1.23,1.87,19.89
0.33,1.45,3.12,0.12,5.78,3.45,1.34,4.89,2.78,0.76,14.89
0.55,2.89,1.34,0.34,6.67,2.45,2.78,3.78,1.34,2.13,18.45
0.77,1.78,2.56,0.45,4.23,3.67,1.67,5.34,2.45,0.65,11.67
0.99,2.45,1.78,0.56,7.56,2.12,2.56,4.78,1.56,2.34,21.23
0.26,1.56,2.78,0.67,5.12,3.89,1.45,4.67,2.89,0.54,13.56
0.48,2.67,1.56,0.78,6.78,2.67,2.34,3.89,1.45,2.65,17.34
0.69,1.34,2.34,0.89,4.45,3.34,1.89,5.45,2.56,0.43,10.89
0.91,2.98,1.23,0.91,7.78,2.89,2.12,4.56,1.67,2.76,20.98
0.28,1.89,2.67,0.23,5.45,3.56,1.56,4.78,2.34,0.87,15.12
0.49,2.34,1.45,0.45,6.34,2.45,2.67,3.67,1.78,1.98,17.67
0.71,1.67,2.89,0.56,4.67,3.78,1.23,5.56,2.67,0.76,11.34
0.93,2.56,1.67,0.67,7.12,2.34,2.89,4.34,1.23,2.87,19.23
0.24,1.12,2.45,0.78,5.89,3.23,1.78,4.89,2.78,0.65,14.45
0.46,2.78,1.89,0.89,6.56,2.78,2.45,3.78,1.34,2.98,18.89
